FID,id,toilet_lokalitet,vejnavn_husnummer,postnummer,toilet_betegnelse,toilettype_design,handicapadgang,aabningstid_doegn,aabningsperiode,status,grafitti_ansvarlig,driftsbydel,utm_x,utm_y,longitude,latitude,wkb_geometry
toilet_puma_agg_tmf_kk.21,21,Maria Kirkeplads,Istedgade 20,1650 København V,Pissoir,Pissoir (fritstående),Nej,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Vesterbro-Kgs.Enghave (udl.),723889.54870539,6175288.4489232,12.56054136,55.67168964,POINT (12.56054135909809 55.67168967154606)
toilet_puma_agg_tmf_kk.22,22,Kagsmosen,Kagsvang 31,2700 Brønshøj,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Brønshøj-Husum (udl.),717243.17501727,6179236.86827831,12.4581903,55.71012074,POINT (12.458190302363445 55.710120773756145)
toilet_puma_agg_tmf_kk.23,23,Kapel i Sundby Kirkegård,Kastrupvej  53,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,727601.53647871,6173808.62184579,12.6182165,55.65669457,POINT (12.618216497385973 55.65669460695746)
toilet_puma_agg_tmf_kk.24,24,Kalvebod Bølge,Kalvebod Brygge 7,1560 København V,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen,Indre By,724719.52416935,6174900.86883488,12.57339465,55.66783066,POINT (12.573394647787504 55.66783069259374)
toilet_puma_agg_tmf_kk.25,25,Tæt på Folkets Park,Korsgade  58B,2200 København N,Pissoir,Pissoir (fritstående),Nej,Døgnåbent,Vinterlukket,IDrift,TMF (Kontrakter),Nørrebro,723388.6243437,6176931.06632392,12.55392936,55.68665143,POINT (12.553929356998271 55.68665146213233)
toilet_puma_agg_tmf_kk.26,26,Yderst på kajen,Langeliniekaj 61,2100 København Ø,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Østerbro,726232.39990075,6178951.19856838,12.60073886,55.70345069,POINT (12.600738862812554 55.70345072744581)
toilet_puma_agg_tmf_kk.27,27,Hans Knudsens Plads,Lyngbyvej 90,2100 København Ø,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,723634.08420846,6179875.58556927,12.5602285,55.71294502,POINT (12.560228497200951 55.71294505595587)
toilet_puma_agg_tmf_kk.28,28,"Fælledparken, Serridslevvej Nord",Serridslevvej 35,2100 København Ø,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,724361.456052,6179228.65149206,12.57125307,55.70680751,POINT (12.571253071443156 55.70680754176693)
toilet_puma_agg_tmf_kk.29,29,Melchiors Plads,Melchiors Plads 8,2100 København Ø,Toilet med handicapadgang,Danfo,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Østerbro,725278.74536656,6178914.45143458,12.5855636,55.70356481,POINT (12.585563595861533 55.703564845773734)
toilet_puma_agg_tmf_kk.30,30,"Moseskellet, Utterslev Mose",Moseskellet 47,2400 København NV,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,TMF (Kontrakter),Bispebjerg,721242.87925343,6180769.14180164,12.52296405,55.72205527,POINT (12.52296404590931 55.722055303653256)
toilet_puma_agg_tmf_kk.31,31,Mosesvinget,Mosesvinget 1,2400 København NV,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Brønshøj-Husum (udl.),720153.90487131,6179703.20293858,12.50480308,55.71299097,POINT (12.50480307585721 55.71299100652149)
toilet_puma_agg_tmf_kk.32,32,Mozarts Plads metrotoilet,Mozarts Plads 2A,2450 København SV,Toilet med handicapadgang,Standardtoilet Zenzo,Ja,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave,722328.09456187,6172656.00458642,12.53363249,55.64879805,POINT (12.533632485295321 55.648798083280965)
toilet_puma_agg_tmf_kk.33,33,Nikolaj Plads,Nikolaj Plads 10B,1067 København K,Pissoir,Pissoir (fritstående),Nej,Døgnåbent,Vinterlukket,IDrift,Renhold City Middelalderbyen,Indre By,725184.88724817,6176171.61436995,12.58182075,55.6790111,POINT (12.581820750752057 55.67901113084689)
toilet_puma_agg_tmf_kk.34,34,Nyhavn,Nyhavn 1F,1051 København K,Toilet med personale,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,725552.36643901,6176362.36177782,12.58780986,55.68055117,POINT (12.587809855162531 55.68055120588498)
toilet_puma_agg_tmf_kk.35,35,Nyhavnsbroen - Nyhavn 28,Nyhavn 28,1051 København K,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,725758.62912133,6176261.61566058,12.59100073,55.67955187,POINT (12.591000725657478 55.679551906743036)
toilet_puma_agg_tmf_kk.36,36,Havnebadet Sluseholmen,Ben Websters Vej 69,2450 København SV,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,Renhold City Middelalderbyen,Vesterbro-Kgs.Enghave,723621.01665664,6172461.58323722,12.5539796,55.64646158,POINT (12.553979596339179 55.64646161080047)
toilet_puma_agg_tmf_kk.37,37,Nyhavnsbroen - Nyhavn 47C,Nyhavn 47C,1051 København K,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Døgnåbent,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,725770.55697683,6176290.91627588,12.59121414,55.67980909,POINT (12.591214141542908 55.679809123306214)
toilet_puma_agg_tmf_kk.38,38,V. Domhuset,Nytorv 29A,1450 København K,Pissoir,Pissoir (fritstående),Nej,Døgnåbent,Vinterlukket,IDrift,Renhold City Middelalderbyen,Indre By,724618.62449321,6175981.4225734,12.57267771,55.67756767,POINT (12.572677707778517 55.67756770288847)
