"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"419","Strandvejen 4, Årsdale","3740","Svaneke","55.108537","15.143512","Handicap","Nej","Nej","Ved ikke","Nej","Ja","Placering: ved Årsdale havn/strand. Passagerly.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/strandvejen43_0.jpg"
"460","Sverigesvej 6","3770","Allinge","55.279210","14.800486","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: Allinge Havn.
Åbningsperiode: fra uge 19 til 42.","Bornholm","sites/default/files/images/475/2017/07/sverigesvej6.jpg"
"712","Sydskovvej","3740","Svaneke","55.128983","15.147828","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: Svaneke
National cykelrute 10
Åbningsperiode:  Åbent","Bornholm","sites/default/files/images/475/2020/07/svaneke.png"
"461","Sænevej 19, Hammerhavn","3770","Allinge","55.279390","14.755146","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ja","Placering: Ved siden af caféen ved Hammerhavn.","Bornholm","sites/default/files/images/475/2017/07/saenevej19.jpgsites/default/files/images/475/2017/07/saenevej19hammerhavn.jpgsites/default/files/images/475/2017/07/saenevej19inde.jpg"
"475","Søndre Landevej 18B","3720","Åkirkeby","55.055612","14.790119","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: rasteplads på Søndre Landevej.
Åbningsperiode: lukket fra 1. nov. -31. april.","Bornholm","sites/default/files/images/475/2017/07/sondrelandevej18b1.jpg"
"474","Søndre Landevej 86A","3720","Åkirkeby","55.042816","14.846494","Handicap","Nej","Nej","Nej","Nej","Ja","Placering: ved rastepladsen.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/07/sondrelandevej86a2.jpg"
"409","Søndre Strandvej 144C","3760","Gudhjem","55.226864","14.884614","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: Rasteplads ved Døndalen i Rø.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/sondrestrandvej144c2.jpgsites/default/files/images/475/2017/06/sondrestrandvej144c1_0.jpg"
"437","Teglkåsvej 3","3790","Hasle","55.212122","14.707516","Handicap","Nej","Nej","Ved ikke","Nej","Ja","Placering: Helligpeder Havn.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/06/teglkasvej32.jpg"
"436","Teglkåsvej 64A","3790","Hasle","55.222799","14.712379","Handicap","Nej","Nej","Ved ikke","Nej","Ja","Placering: Teglkås Havn.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/teglkasvej64a1_0.jpg"
"711","Toldbodvej 3","3730","Nexø","55.062180","15.133183","Handicap","Nej","Nej","Nej","Ja","Ja","Placering Nexø parkeringsplads
National cykelrute 10
Åbningsperiode: Åbent","Bornholm","sites/default/files/images/475/2020/07/nexo.jpg"
"421","Torvet 15","3730","Nexø","55.063603","15.131327","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: P-plads ved torvet.
Åbningsperiode: hele året.
Åbningstider: Dørlås med ur. Fra 1. maj til 1 okt. kl. 7:00 - 22:00.
1. okt. til 1. maj kl. 7:00 - 19:00.","Bornholm","sites/default/files/images/475/2017/06/torvet15slagtergarden2.jpg"
"692","Vestermarievej 36C","3700","Rønne","55.106430","14.822759","Handicap","Nej","Nej","Nej","Ja","Ja","Placering:Vestermarie by
Regional cykelrute 22
Åbningsperiode: Åbent","Bornholm","sites/default/files/images/475/2020/07/kim1093.jpg"
"429","Vigehavnen 1","3740","Svaneke","55.138800","15.139517","Handicap","Nej","Nej","Ved ikke","Nej","Ja","Placering: Vigehavn, Svaneke.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/06/vigehavnen12_0.jpgsites/default/files/images/475/2017/06/vigehavnen11_0.jpg"
"710","Vinkelvej 17","3760","Gudhjem","55.164095","14.964837","Handicap","Nej","Nej","Nej","Ja","Ja","Placering Østerlars
Regional cykelrute 25
Åbningsperiode:  Åbent","Bornholm","sites/default/files/images/475/2020/07/vinkelvej.jpg"
"720","Østre Sømarksvej 10c","3720","Åkirkeby","55.009916","14.991840","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: Pedersker
National cykelrute 10
Åbningsperiode:  Åbent","Bornholm","sites/default/files/images/475/2020/07/ostersomarksvej.jpg"
"467","Østre Sømarksvej 31B","3720","Åkirkeby","55.000351","14.989268","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: Bakkerne bådehavn.
Åbningsperiode: lukket fra 1. nov. -31. april.","Bornholm","sites/default/files/images/475/2017/07/ostresomarksvej31b.jpg"
"396","Åkirkebyvej 192B","3700","Rønne","55.084252","14.748731","Handicap","Nej","Nej","Ved ikke","Nej","Ja","Placering: Rasteplads ved Robbedale.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/akirkebyvej192b.jpg"
"422","Aarsdalevej 24","3730","Nexø","55.094849","15.149261","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: Rasteplads ved Bavnet, Nørremark.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/arsdalevej241_0.jpg"
"472","Boderne 4","3720","Åkirkeby","55.023133","14.904470","Unisex","Nej","Nej","Nej","Ja","Ja","Placering: Boderne Havn.
Åbningsperiode: lukket fra 1. nov. -31. april.","Bornholm","sites/default/files/images/475/2017/07/boderne.jpg"
